2024-02-15T02:47:55.470138Z [warning  ] No state was found, complete import.
2024-02-15T02:47:56.652547Z [info     ] 2024-02-14 23:47:56,643 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.009439468383789062, "tags": {"stream": "information_schema-_pg_user_mappings", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.652894Z [info     ] 2024-02-14 23:47:56,643 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "information_schema-_pg_user_mappings", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.653281Z [info     ] 2024-02-14 23:47:56,643 | INFO     | tap-postgres.information_schema-administrable_role_authorizations | Beginning full_table sync of 'information_schema-administrable_role_authorizations'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.653683Z [info     ] 2024-02-14 23:47:56,643 | INFO     | tap-postgres.information_schema-administrable_role_authorizations | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.655600Z [info     ] 2024-02-14 23:47:56,655 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.011076211929321289, "tags": {"stream": "information_schema-administrable_role_authorizations", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.656343Z [info     ] 2024-02-14 23:47:56,655 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 0, "tags": {"stream": "information_schema-administrable_role_authorizations", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.656794Z [info     ] 2024-02-14 23:47:56,656 | INFO     | tap-postgres.information_schema-applicable_roles | Beginning full_table sync of 'information_schema-applicable_roles'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.657350Z [info     ] 2024-02-14 23:47:56,656 | INFO     | tap-postgres.information_schema-applicable_roles | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.681555Z [info     ] 2024-02-14 23:47:56,681 | INFO     | singer_sdk.metrics   | METRIC: {"type": "timer", "metric": "sync_duration", "value": 0.02460646629333496, "tags": {"stream": "information_schema-applicable_roles", "context": {}, "status": "succeeded"}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.683812Z [info     ] 2024-02-14 23:47:56,681 | INFO     | singer_sdk.metrics   | METRIC: {"type": "counter", "metric": "record_count", "value": 3, "tags": {"stream": "information_schema-applicable_roles", "context": {}}} cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.684447Z [info     ] 2024-02-14 23:47:56,682 | INFO     | tap-postgres.information_schema-attributes | Beginning full_table sync of 'information_schema-attributes'... cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
2024-02-15T02:47:56.685037Z [info     ] 2024-02-14 23:47:56,683 | INFO     | tap-postgres.information_schema-attributes | Tap has custom mapper. Using 1 provided map(s). cmd_type=elb consumer=False name=tap-postgres producer=True stdio=stderr string_id=tap-postgres
